event_id,customer_id,event_type,event_date,feature_used,value_usd
EV0001,C001,login,2024-10-01,dashboard,0
EV0002,C001,export_report,2024-10-02,analytics,50
EV0003,C001,login,2024-10-03,dashboard,0
EV0004,C001,api_call,2024-10-04,api,0
EV0005,C002,login,2024-10-01,dashboard,0
EV0006,C002,dashboard_view,2024-10-02,analytics,0
EV0007,C002,login,2024-10-05,dashboard,0
EV0008,C003,login,2024-10-01,dashboard,0
EV0009,C003,custom_report,2024-10-02,analytics,100
EV0010,C003,api_call,2024-10-03,api,0
EV0011,C003,login,2024-10-04,dashboard,0
EV0012,C003,export_report,2024-10-05,analytics,50
EV0013,C004,login,2024-10-01,dashboard,0
EV0014,C004,login,2024-10-05,dashboard,0
EV0015,C005,login,2024-10-02,dashboard,0
EV0016,C005,dashboard_view,2024-10-03,analytics,0
EV0017,C005,login,2024-10-04,dashboard,0
EV0018,C006,login,2024-10-01,dashboard,0
EV0019,C006,custom_report,2024-10-02,analytics,100
EV0020,C006,api_call,2024-10-03,api,0
EV0021,C006,login,2024-10-04,dashboard,0
EV0022,C006,export_report,2024-10-05,analytics,50
EV0023,C007,login,2024-10-01,dashboard,0
EV0024,C007,login,2024-10-06,dashboard,0
EV0025,C008,login,2024-10-02,dashboard,0
EV0026,C008,dashboard_view,2024-10-03,analytics,0
EV0027,C008,login,2024-10-04,dashboard,0
EV0028,C008,login,2024-10-05,dashboard,0
EV0029,C009,login,2024-10-03,dashboard,0
EV0030,C010,login,2024-10-01,dashboard,0
EV0031,C010,custom_report,2024-10-02,analytics,100
EV0032,C010,api_call,2024-10-03,api,0
EV0033,C010,login,2024-10-04,dashboard,0
EV0034,C011,login,2024-10-01,dashboard,0
EV0035,C011,export_report,2024-10-02,analytics,50
EV0036,C011,login,2024-10-03,dashboard,0
EV0037,C011,login,2024-10-04,dashboard,0
EV0038,C012,login,2024-10-02,dashboard,0
EV0039,C012,dashboard_view,2024-10-03,analytics,0
EV0040,C012,login,2024-10-05,dashboard,0
EV0041,C013,login,2024-10-04,dashboard,0
EV0042,C014,login,2024-10-01,dashboard,0
EV0043,C014,custom_report,2024-10-02,analytics,100
EV0044,C014,api_call,2024-10-03,api,0
EV0045,C014,login,2024-10-05,dashboard,0
EV0046,C015,login,2024-10-02,dashboard,0
EV0047,C015,login,2024-10-05,dashboard,0
EV0048,C016,login,2024-10-01,dashboard,0
EV0049,C016,export_report,2024-10-02,analytics,50
EV0050,C016,login,2024-10-03,dashboard,0
EV0051,C016,login,2024-10-04,dashboard,0
EV0052,C017,login,2024-10-01,dashboard,0
EV0053,C017,login,2024-10-03,dashboard,0
EV0054,C018,login,2024-10-02,dashboard,0
EV0055,C018,dashboard_view,2024-10-03,analytics,0
EV0056,C018,login,2024-10-04,dashboard,0
EV0057,C019,login,2024-10-01,dashboard,0
EV0058,C019,custom_report,2024-10-02,analytics,100
EV0059,C019,api_call,2024-10-03,api,0
EV0060,C019,login,2024-10-04,dashboard,0
EV0061,C020,login,2024-10-01,dashboard,0
EV0062,C020,export_report,2024-10-02,analytics,50
EV0063,C020,login,2024-10-03,dashboard,0
EV0064,C020,login,2024-10-05,dashboard,0
