subscription_id,customer_id,subscription_plan,plan_tier,monthly_fee_usd,start_date,end_date,is_active,billing_cycle
SUB001,C001,Basic,Starter,499,2023-01-15,,true,monthly
SUB002,C001,Professional,Growth,999,2024-01-15,,true,monthly
SUB003,C002,Professional,Growth,999,2023-02-20,,true,annual
SUB004,C003,Enterprise,Enterprise,2499,2023-03-10,,true,monthly
SUB005,C004,Basic,Starter,499,2023-04-05,2024-04-04,false,monthly
SUB006,C004,Professional,Growth,999,2024-04-05,,true,monthly
SUB007,C005,Professional,Growth,999,2023-05-12,,true,monthly
SUB008,C006,Enterprise,Enterprise,2499,2023-06-18,,true,annual
SUB009,C007,Basic,Starter,499,2023-07-22,,true,monthly
SUB010,C008,Professional,Growth,999,2023-08-30,,true,monthly
SUB011,C009,Basic,Starter,499,2023-09-14,2024-03-14,false,monthly
SUB012,C010,Professional,Growth,999,2023-10-25,,true,annual
SUB013,C011,Enterprise,Enterprise,2499,2023-11-08,,true,monthly
SUB014,C012,Professional,Growth,999,2023-12-20,,true,monthly
SUB015,C013,Basic,Starter,499,2024-01-15,,true,monthly
SUB016,C014,Professional,Growth,999,2024-02-28,,true,monthly
SUB017,C015,Basic,Starter,499,2024-03-12,,true,monthly
SUB018,C016,Enterprise,Enterprise,2499,2024-04-20,,true,monthly
SUB019,C017,Professional,Growth,999,2024-05-30,,true,monthly
SUB020,C018,Basic,Starter,499,2024-06-15,,true,monthly
SUB021,C019,Professional,Growth,999,2024-07-22,,true,monthly
SUB022,C020,Enterprise,Enterprise,2499,2024-08-18,,true,annual
